p
O43790
O76011
O76013
O76014
O76015
O95678
P02533
P02538
P04259
P04264
P05783
P05787
P08727
P08729
P08779
P12035
P13645
P13646
P13647
P19012
P19013
P26371
P35527
P35900
P35908
P48668
P59990
P59991
P60014
P60328
P60329
P60368
P60370
P60371
P60372
P60409
P60410
P60411
P60412
P78385
P78386
Q01546
Q04695
Q07627
Q14525
Q14532
Q14533
Q14CN4
Q15323
Q2M2I5
Q3LHN2
Q3LI59
Q3LI64
Q3LI66
Q3LI70
Q3LI72
Q3LI76
Q3SY46
Q3SY84
Q3SYF9
Q52LG2
Q5XKE5
Q6A162
Q6A163
Q6KB66
Q6L8G4
Q6L8G8
Q6L8G9
Q6L8H1
Q6L8H2
Q6L8H4
Q6PEX3
Q701N4
Q7RTS7
Q7Z3Y7
Q7Z3Y8
Q7Z3Y9
Q7Z3Z0
Q7Z4W3
Q7Z794
Q86Y46
Q8IUB9
Q8IUC1
Q8IUC2
Q8IUC3
Q8IUG1
Q8N1A0
Q8N1N4
Q8N6L1
Q92764
Q99456
Q9BQ66
Q9BYP8
Q9BYP9
Q9BYQ0
Q9BYQ2
Q9BYQ3
Q9BYQ4
Q9BYQ5
Q9BYQ6
Q9BYQ7
Q9BYQ8
Q9BYR0
Q9BYR2
Q9BYR3
Q9BYR4
Q9BYR5
Q9BYR6
Q9BYR7
Q9BYR8
Q9BYR9
Q9BYS1
Q9NSB2
Q9NSB4
O75690
O76009
P0C7H8
P60331
P60369
P60413
Q3LI77
Q701N2
Q8IUC0
Q9BYQ9
Q9C075
A1A580
A6NCN2
A8MTY7
A8MVA2
A8MXZ3
G5E9R7
P0C5Y4
P60985
Q3LI61
Q3LI67
Q3LI73
Q3LI83
Q53RY4
Q6L8G5
Q9BYT5
Q9BYU5
A0A6I8PLD9
A0A6I8PLE4
A0A6I8PRU6
A8MT21
A8MUX0
A8MX34
F8VZY9
F8W1S1
K7ERE3
Q3LHN0
Q3LHN1
Q3LI54
Q3LI58
Q3LI60
Q3LI62
Q3LI63
Q3LI68
Q3LI81
Q3MIV0
Q8N816
A0A087WWJ3
A0A087WZD6
A0A0G2JLE6
A0A0G2JLF9
A0A0G2JMZ9
A0A0G2JPP1
A0A0G2JQ22
A0A0G2JS28
A0A0U1RQU6
A0A0U1RR33
A0A140TA58
A0A140TA67
A0A140TA69
A0A1B0GVI3
A0A3B3IS58
A0A3B3ITG2
A0A669KBF3
A8MUN0
C4AM86
C9JM50
C9JTG5
F5GYI5
F5H1T9
F8VP67
F8VQY3
F8VS61
F8VU69
F8VUG2
F8VV57
F8VX05
F8VZR6
F8W0C6
F8W1U3
F8WDP6
G3V1C2
H0YHD9
H0YI54
H0YI76
H0YIB2
H0YIC5
H0YID6
H0YIG3
H0YIN9
H7BZ70
J3QQR9
J3QR55
J3QRE9
K7EMD9
K7EMJ2
K7EMS3
K7EMX0
K7ENV3
K7ENW6
K7EPI0
K7EPJ9
K7EQH6
K7EQK9
K7EQQ3
K7ESE1
Q9UFN7
U3KPR1
P02535
P04104
P05784
P07744
P08730
P11679
P19001
P50446
Q3TTY5
Q61781
Q64291
Q8BGZ7
Q8VCW2
Q922U2
Q925H4
Q9D312
Q9QWL7
Q9R0H5
Q9Z2K1
B1AQ75
Q0VBK2
Q61414
Q6IFX3
Q6IFX4
Q6IFZ6
Q6IME9
Q6NXH9
Q6RHW0
Q8VED5
Q99M73
Q9DCV7
Q9Z320
Q9Z331
A1L317
A2A5X5
A6BLY7
O08633
O08640
P97861
Q3TRJ4
Q3UV17
Q497I4
Q5RL79
Q61765
Q61897
Q62168
Q64507
Q6IFX2
Q6IFZ9
Q6IMF0
Q8C1I6
Q99M74
Q99PS0
Q9D3I6
Q9D646
Q9ERE2
Q9Z2T6
A0A0A0MQN1
A1L0X5
A2A513
A2A591
A2A5X4
B1AQ78
E9PX37
E9Q0F0
E9Q1Y9
E9Q1Z0
E9Q2E9
G3X9A2
O08632
O08884
O88375
Q0VDM9
Q0VDN0
Q148Q7
Q2TA51
Q3SYP5
Q3ULX3
Q3V2C1
Q3V2T4
Q544I8
Q61726
Q62220
Q6IFT3
Q8BIS2
Q8CAZ5
Q8CB30
Q8CCX5
Q8K0Y2
Q8K177
Q8K198
Q925H2
Q925H3
Q925H6
Q925H7
Q925I0
Q99NG9
Q9CPR6
Q9CRS6
