UniProt,MitoCarta3.0_SubMitoLocalization
Q9UI09,MIM
Q9Y3D3,Matrix
Q49AM1,Matrix
Q6IPR1,Matrix
P43304,MIM
O95299,MIM
O95298,MIM
Q9GZT3,Matrix
P00846,MIM
P00403,MIM
Q9BVV7,MIM
P51970,MIM
O94925,MIM
Q9NX14,MIM
Q96HY7,Matrix
Q96GK7,Matrix
Q92506,Matrix
Q9BX68,Matrix
P82675,Matrix
Q5SQH8,Matrix
Q8WW59,Matrix
A6NK58,Matrix
Q16698,Matrix
Q9BYN8,Matrix
Q9Y619,MIM
P56181,MIM
Q86WA6,Matrix
Q9UJZ1,MIM
Q9Y3D2,Matrix
P83111,IMS
O96008,MOM
Q6KCM7,MIM
Q3MIX3,unknown
Q6JQN1,Matrix
A3KMH1,Matrix
Q9GZT6,MIM
Q9NVH1,MOM
Q9BT30,Matrix
P23378,Matrix
P0DKB6,MIM
Q5T1C6,MIM
Q04837,Matrix
Q9P0M9,Matrix
Q8IWL3,Matrix
P82664,Matrix
P27144,Matrix
Q9NVI7,MIM
Q9BZE1,Matrix
Q9H7Z7,MIM
Q9NNW7,Matrix
Q6NUN0,Matrix
Q9NZ45,MOM
Q8IXM3,Matrix
Q969Z3,MOM
P82932,Matrix
Q16540,Matrix
Q9Y6N5,MIM
O75880,MIM
O75600,unknown
Q6UB35,Matrix
O75521,Matrix
P14927,MIM
O75947,MIM
O75964,MIM
Q4VC31,IMS
Q9HCC0,Matrix
Q96PE7,Matrix
Q9NZB8,Matrix
P22033,Matrix
Q9H1U9,MIM
Q9UQ90,MIM
P48201,MIM
Q8NBU5,MOM
Q96HP4,Matrix
Q9H4K7,Matrix
Q6PI48,Matrix
Q4U2R6,Matrix
P11498,Matrix
Q8N0X4,Matrix
Q9NP80,MIM
O95822,Matrix
Q96I23,unknown
O60830,MIM
Q9BYC8,Matrix
Q70HW3,MIM
Q9UF12,MIM
Q9NQR4,unknown
Q6P4F2,Matrix
P23368,Matrix
P49411,Matrix
Q02221,MIM
Q6PML9,MIM
Q96BW9,MIM
O14925,MIM
Q9NWS8,MIM
O95140,MOM
Q5SXM8,Matrix
Q8N4Q1,IMS
O14561,MIM
Q08AH1,Matrix
Q86WW8,IMS
Q96H96,MIM
Q86YH6,MIM
Q08426,unknown
O75489,MIM
Q9NRK6,MIM
P17540,MIM
P82663,Matrix
Q9H845,MIM
Q9P0S2,MIM
Q96ND0,MIM
Q9NPJ3,Matrix
P50416,MOM
Q9BTZ2,Matrix
Q8N945,IMS
Q9HA77,Matrix
O75323,Matrix
P17568,MIM
Q5XKP0,MIM
Q9NS18,Matrix
Q9NP92,Matrix
O43819,MIM
Q99714,Matrix
Q96I59,Matrix
Q6P087,Matrix
P51687,IMS
Q9UL12,Matrix
P52758,Matrix
P10176,MIM
P35270,unknown
P39210,MIM
Q8N4Q0,unknown
Q9H0U6,Matrix
P30837,Matrix
Q96BP2,MIM
O60220,MIM
Q9Y277,MOM
Q6NUK1,MIM
Q9Y5U8,MIM
Q9H936,MIM
Q9H0C2,MIM
Q9H1K4,MIM
Q96Q11,Matrix
P14735,Matrix
Q9Y2Q3,Matrix
Q5ST30,Matrix
P61604,Matrix
Q6P161,Matrix
Q96DV4,Matrix
Q14197,Matrix
Q9NZJ7,MOM
O43715,IMS
Q96EY7,Matrix
Q12887,MIM
Q92667,MOM
Q9HC36,Matrix
P54819,IMS
Q9BUB7,MIM
Q8NC60,MIM
Q96AQ8,MIM
Q9P0S9,MIM
O43677,MIM
Q9NZE8,Matrix
O95167,MIM
Q5T2R2,MIM
P16260,MIM
0,Matrix
Q53FZ2,Matrix
Q330K2,MIM
P25874,MIM
Q9H9B4,MIM
Q86SX6,Matrix
Q86Y79,Matrix
P82912,Matrix
Q9NQH7,Matrix
Q9P0J1,MIM
P42126,Matrix
Q9BQT8,MIM
Q8N8R3,MIM
Q8N413,MIM
Q9NRP4,Matrix
Q9Y3B1,IMS
Q9BZJ4,MIM
O43676,MIM
Q9Y3B8,Matrix
P50440,Matrix
Q9Y5J6,MIM
Q9NP81,Matrix
Q8NE62,MIM
Q9BQC6,Matrix
Q6P1X6,Matrix
Q5JPH6,Matrix
Q9UBQ7,Matrix
Q96DP5,Matrix
Q8WV60,Matrix
Q9NTX5,unknown
P49590,Matrix
O00483,MIM
Q9P0J0,MIM
Q8NCW5,Matrix
P17152,MIM
Q9BVL4,Matrix
Q8N159,Matrix
P51659,unknown
Q7L592,MIM
P04181,Matrix
Q8N5N7,Matrix
P24311,MIM
Q5T160,Matrix
Q5BKU9,unknown
Q53H82,Matrix
Q86Y39,MIM
Q9NWT8,Matrix
Q9BUK0,IMS
P34897,Matrix
P13995,Matrix
Q96DB5,MOM
P31327,Matrix
Q6P1L8,Matrix
Q9P0P8,Matrix
Q8NBN7,MIM
Q96GJ1,Matrix
Q96EL2,Matrix
Q9Y2R0,MIM
P00390,Matrix
Q14249,IMS
O15382,Matrix
Q96QE5,Matrix
Q96CM8,Matrix
O75648,Matrix
P82650,Matrix
P28838,Matrix
P00367,Matrix
P35914,Matrix
P49789,Matrix
Q9Y291,Matrix
Q8TB37,Matrix
