UniProt,MitoCarta3.0_SubMitoLocalization
Q921N7,MIM
Q9D6Z0,Matrix
Q9CXW2,Matrix
Q9CQB4,MIM
P17665,MIM
Q9CWX2,MIM
Q9D7B6,Matrix
Q9CYK1,Matrix
Q9JIK9,Matrix
Q8BK30,MIM
Q9CPU2,MIM
Q8BH59,MIM
P51881,MIM
P58059,Matrix
Q78J03,Matrix
Q80Y14,Matrix
Q7TNL9,IMS
Q3THF9,MIM
Q9CR58,MIM
Q9QXX4,MIM
Q9QZD8,MIM
P56392,MIM
Q9DAM5,MIM
Q9DB10,MIM
Q8BU88,Matrix
G5E8U5,Matrix
Q920A7,MIM
Q61578,Matrix
Q9D8T7,Matrix
Q91VA6,Matrix
Q3URE1,Matrix
Q8BGA9,MIM
P54071,Matrix
Q9CPQ8,MIM
Q9D8S9,Matrix
Q3TC72,Matrix
Q91V16,Matrix
Q9CQ54,MIM
Q9DCJ5,MIM
Q3V3R1,Matrix
Q922H2,Matrix
Q8BH51,MIM
Q60759,Matrix
Q9CPY1,Matrix
Q99KB8,Matrix
F7C846,MOM
Q99M01,Matrix
Q91VT4,Matrix
Q9DCI9,Matrix
B8JJ69,Matrix
Q9CPW2,Matrix
P00405,MIM
P00848,MIM
Q9CQN1,Matrix
Q64521,MIM
Q61102,MIM
Q99N15,Matrix
P26443,Matrix
P47738,Matrix
Q8BFR5,Matrix
Q99JB2,MIM
Q99LB2,Matrix
Q9JLJ2,Matrix
Q8BGV0,Matrix
Q8CC88,Matrix
Q80ZS3,Matrix
Q80V03,unknown
Q8BYM8,Matrix
Q8CFY5,MIM
O09111,MIM
P35487,Matrix
Q9CYR0,Matrix
Q8K3A0,Matrix
Q99N92,Matrix
Q9D0S9,Matrix
Q9DCW4,Matrix
Q9WVD5,MIM
Q8VE38,Matrix
P00015,IMS
P62897,IMS
O35972,Matrix
Q99N94,Matrix
Q9CQA6,MIM
Q925I1,MIM
P16332,Matrix
Q91WS0,MOM
Q8BIP0,Matrix
Q9Z110,Matrix
Q8VDT9,Matrix
Q64445,MIM
P58064,Matrix
Q64433,Matrix
Q91VM9,Matrix
E9QPD7,Matrix
Q91W43,Matrix
G5E881,MIM
P56384,MIM
Q8K2M0,Matrix
Q7TMF3,MIM
S4R2K0,Matrix
Q8K370,Matrix
Q8BWM0,MIM
Q8R3Q6,IMS
Q3V132,MIM
Q9DCX2,MIM
Q9CQQ7,MIM
Q9CQN7,Matrix
Q9JLT4,Matrix
Q9D1I5,Matrix
Q3ULD5,Matrix
Q8R3K3,Matrix
Q9WUR9,Matrix
A2ASZ8,MIM
